0,1,2
4.977371,51.894372,1.0
4.977417,51.894741,2.0
4.977518,51.894975,3.0
4.977611,51.895278,4.0
4.977759,51.895491,5.0
4.977851,51.895775,6.0
4.977997,51.895929,7.0
4.978067,51.896131,8.0
4.978186,51.896463,9.0
4.978245,51.896812,10.0
4.978352,51.897069,11.0
4.978468,51.897349,12.0
4.978547,51.89766,13.0
4.978642,51.897963,14.0
4.978711,51.898238,15.0
4.978806,51.898489,16.0
4.978843,51.898769,17.0
4.978937,51.899022,18.0
4.979042,51.899285,19.0
4.97918,51.899554,20.0
4.979331,51.899833,21.0
4.979443,51.900115,22.0
4.979584,51.900411,23.0
4.979675,51.900674,24.0
4.979791,51.900966,25.0
4.9799,51.901328,26.0
4.97999,51.901634,27.0
4.980147,51.901855,28.0
4.980237,51.90216,29.0
4.980323,51.902394,30.0
4.980456,51.90265,31.0
4.980585,51.902991,32.0
4.980708,51.903319,33.0
4.980847,51.903564,34.0
4.980955,51.903867,35.0
4.981084,51.904185,36.0
4.981208,51.904537,37.0
4.981373,51.904793,38.0
4.981512,51.90503,39.0
4.981652,51.905274,40.0
4.981789,51.905568,41.0
4.98194,51.905853,42.0
4.982081,51.906127,43.0
4.982216,51.9064,44.0
4.982347,51.906689,45.0
4.982484,51.906982,46.0
4.982595,51.907266,47.0
4.982729,51.90753,48.0
4.982843,51.907814,49.0
4.982931,51.908111,50.0
4.983026,51.908412,51.0
4.983162,51.908692,52.0
4.983238,51.909046,53.0
4.983357,51.909316,54.0
4.983439,51.909616,55.0
4.983557,51.909877,56.0
4.983616,51.910207,57.0
4.983736,51.910504,58.0
4.98384,51.910802,59.0
4.983964,51.911078,60.0
4.9841,51.911371,61.0
4.984196,51.911693,62.0
4.98426,51.912067,63.0
4.984415,51.912323,64.0
4.984542,51.912641,65.0
4.984736,51.912893,66.0
4.984872,51.913199,67.0
4.985087,51.913455,68.0
4.985203,51.913771,69.0
4.985389,51.914074,70.0
4.985584,51.914378,71.0
4.985741,51.91464,72.0
4.985935,51.914941,73.0
4.986102,51.915238,74.0
4.98627,51.915544,75.0
4.98643,51.915816,76.0
4.986624,51.916111,77.0
4.986842,51.916383,78.0
4.987026,51.916667,79.0
4.98722,51.916944,80.0
4.987405,51.917249,81.0
4.987551,51.917566,82.0
4.987687,51.917896,83.0
4.987888,51.918169,84.0
4.988065,51.918447,85.0
4.988272,51.918704,86.0
4.988483,51.918959,87.0
4.98862,51.91923,88.0
4.988799,51.919527,89.0
4.988951,51.919815,90.0
4.989152,51.920094,91.0
4.989321,51.920367,92.0
4.989508,51.920642,93.0
4.9897,51.92089,94.0
4.989878,51.921192,95.0
4.99007,51.921446,96.0
4.990283,51.921815,97.0
4.990438,51.922166,98.0
4.990602,51.922491,99.0
4.990782,51.92276,100.0
4.990986,51.923032,101.0
4.991138,51.923328,102.0
4.991314,51.923629,103.0
4.991476,51.923928,104.0
4.991704,51.924251,105.0
4.991852,51.924565,106.0
4.991989,51.924886,107.0
4.992151,51.925194,108.0
4.99234,51.92548,109.0
4.9925,51.925793,110.0
4.992626,51.926099,111.0
4.99286,51.926385,112.0
4.993026,51.926735,113.0
4.993214,51.927002,114.0
4.993372,51.927281,115.0
4.993541,51.92757,116.0
4.99371,51.927923,117.0
4.993872,51.928246,118.0
4.994034,51.928488,119.0
4.994156,51.928814,120.0
4.994353,51.929194,121.0
4.994546,51.929462,122.0
4.994692,51.929765,123.0
4.994858,51.930085,124.0
4.99507,51.930333,125.0
4.995262,51.930628,126.0
4.995494,51.93089,127.0
4.9957,51.931148,128.0
4.99594,51.931422,129.0
4.996186,51.931676,130.0
4.996431,51.931982,131.0
4.996682,51.932282,132.0
4.996902,51.93255,133.0
4.997143,51.932832,134.0
4.997359,51.933125,135.0
4.99761,51.933374,136.0
4.997818,51.933728,137.0
4.998124,51.93399,138.0
4.998425,51.934248,139.0
4.998745,51.934514,140.0
4.998987,51.934792,141.0
4.99924,51.935075,142.0
4.999498,51.935442,143.0
4.999773,51.935671,144.0
5.00005,51.935931,145.0
5.000334,51.936141,146.0
5.000622,51.936365,147.0
5.000851,51.936622,148.0
5.001115,51.936883,149.0
5.001377,51.937133,150.0
5.001668,51.937376,151.0
5.001918,51.937637,152.0
5.002187,51.937905,153.0
5.002447,51.938151,154.0
5.002739,51.938413,155.0
5.003018,51.93869,156.0
5.003295,51.938935,157.0
5.00356,51.939189,158.0
5.003881,51.93941,159.0
5.004125,51.939641,160.0
5.004419,51.939929,161.0
5.004636,51.940229,162.0
5.004892,51.940514,163.0
5.005147,51.940766,164.0
5.005421,51.941045,165.0
5.005707,51.941299,166.0
5.005958,51.941554,167.0
5.006228,51.941808,168.0
5.006503,51.942116,169.0
5.006775,51.942389,170.0
5.007031,51.942664,171.0
5.007288,51.942897,172.0
5.007564,51.943142,173.0
5.00778,51.943383,174.0
5.008078,51.943571,175.0
5.00831,51.943838,176.0
5.008566,51.944151,177.0
5.008823,51.944426,178.0
5.0091,51.944672,179.0
5.009353,51.944891,180.0
5.009649,51.94513,181.0
5.009881,51.945406,182.0
5.010143,51.94569,183.0
5.010389,51.945931,184.0
5.010672,51.946188,185.0
5.01091,51.946441,186.0
5.011138,51.946701,187.0
5.011394,51.946979,188.0
5.011668,51.947221,189.0
5.011875,51.947465,190.0
5.012133,51.947718,191.0
5.012352,51.947957,192.0
5.012592,51.948234,193.0
5.012848,51.948473,194.0
5.013112,51.948729,195.0
5.013406,51.949004,196.0
5.013671,51.949287,197.0
5.013978,51.949532,198.0
5.014247,51.949782,199.0
5.014549,51.950023,200.0
5.0149,51.950304,201.0
5.015238,51.950571,202.0
5.015585,51.950805,203.0
5.016001,51.951033,204.0
5.016334,51.951293,205.0
5.01668,51.95154,206.0
5.017055,51.951792,207.0
5.017423,51.95203,208.0
5.017818,51.952261,209.0
5.018224,51.952346,210.0
5.018686,51.952507,211.0
5.019133,51.952687,212.0
5.019541,51.952883,213.0
5.019976,51.953038,214.0
5.020403,51.953246,215.0
5.02079,51.953477,216.0
5.021233,51.953678,217.0
5.021622,51.95384,218.0
5.02208,51.953977,219.0
5.022556,51.954108,220.0
5.023065,51.954238,221.0
5.02356,51.954384,222.0
5.024057,51.954539,223.0
5.024477,51.954689,224.0
5.025182,51.954839,225.0
5.025624,51.955003,226.0
5.026148,51.955127,227.0
5.026637,51.955021,228.0
5.027083,51.955064,229.0
5.027564,51.955067,230.0
5.02801,51.955157,231.0
5.028528,51.955202,232.0
5.029073,51.95526,233.0
5.029518,51.95536,234.0
5.030033,51.955416,235.0
5.030474,51.955455,236.0
5.031025,51.955518,237.0
5.031589,51.955576,238.0
5.032091,51.955552,239.0
5.032687,51.955699,240.0
5.033419,51.955614,241.0
5.034066,51.955647,242.0
5.034526,51.955637,243.0
5.035069,51.955615,244.0
5.035622,51.955583,245.0
5.036131,51.955592,246.0
5.036615,51.955599,247.0
5.037151,51.955583,248.0
5.037816,51.955527,249.0
